,study_ID,Study,Site,Latitude,Longitude,max_Depth,mean_Depth,min_Depth,trajectory_ID,sample_size,sample_unit_size_sq_m,year,period,rawDate,sasDate,biomass_KG_wet_per_sq_m,Stipe_Density_num_per_sq_m,individual_per_sq_m,percent_cover,biomass_KG_wet_per_sq_m_STD,Stipe_Density_num_per_sq_m_STD,individual_per_sq_m_STD,percent_cover_STD,focalKelp,focalKelp_STD,focalUnit,elapsed,ROC,len,ECOREGION,PROVINCE,REALM
1,1,VancouverIsland-JaneWatson,GULL,50.0944444,-127.55889,9,9,9,1,5,20,1988,1,10485,09/15/1988,NA,7.27,NA,NA,NA,0.854108,NA,NA,7.27,0.854107722,3,NA,NA,24,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
2,1,VancouverIsland-JaneWatson,GULL,50.0944444,-127.55889,9,9,9,1,5,20,1989,2,10815,08/11/1989,NA,7.5,NA,NA,NA,0.70445,NA,NA,7.5,0.70445014,3,330,0.034473766,24,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
3,1,VancouverIsland-JaneWatson,GULL,50.0944444,-127.55889,9,9,9,1,5,20,1990,3,11176,08/07/1990,NA,6.95,NA,NA,NA,1.663205,NA,NA,6.95,1.663204738,3,361,-0.077057997,24,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
4,1,VancouverIsland-JaneWatson,GULL,50.0944444,-127.55889,9,9,9,1,5,20,1991,4,11573,09/08/1991,NA,6.27,NA,NA,NA,0.648652,NA,NA,6.27,0.648652449,3,397,-0.094730674,24,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
5,1,VancouverIsland-JaneWatson,GULL,50.0944444,-127.55889,9,9,9,1,5,20,1992,5,11949,09/18/1992,NA,4.84,NA,NA,NA,0.894707,NA,NA,4.84,0.894706656,3,376,-0.25146067,24,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
6,1,VancouverIsland-JaneWatson,GULL,50.0944444,-127.55889,9,9,9,1,5,20,1993,6,12260,07/26/1993,NA,4.27,NA,NA,NA,0.829608,NA,NA,4.27,0.829608341,3,311,-0.147158043,24,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
7,1,VancouverIsland-JaneWatson,GULL,50.0944444,-127.55889,9,9,9,1,5,20,1994,7,12644,08/14/1994,NA,4.44,NA,NA,NA,0.631862,NA,NA,4.44,0.631862327,3,384,0.037134272,24,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
8,1,VancouverIsland-JaneWatson,GULL,50.0944444,-127.55889,9,9,9,1,5,20,1995,8,13005,08/10/1995,NA,4.74,NA,NA,NA,1.596637,NA,NA,4.74,1.596637091,3,361,0.066152501,24,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
9,1,VancouverIsland-JaneWatson,GULL,50.0944444,-127.55889,9,9,9,1,5,20,1996,9,13366,08/05/1996,NA,2.91,NA,NA,NA,0.384708,NA,NA,2.91,0.384707681,3,361,-0.493627842,24,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
10,1,VancouverIsland-JaneWatson,GULL,50.0944444,-127.55889,9,9,9,1,5,20,1997,10,13739,08/13/1997,NA,2.6,NA,NA,NA,1.888121,NA,NA,2.6,1.888120759,3,373,-0.110301227,24,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
11,1,VancouverIsland-JaneWatson,GULL,50.0944444,-127.55889,9,9,9,1,5,20,1998,11,14104,08/13/1998,NA,1.31,NA,NA,NA,0.204328,NA,NA,1.31,0.204328167,3,365,-0.685953818,24,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
12,1,VancouverIsland-JaneWatson,GULL,50.0944444,-127.55889,9,9,9,1,5,20,1999,12,14438,07/13/1999,NA,4.64,NA,NA,NA,3.918769,NA,NA,4.64,3.918768939,3,334,1.383015001,24,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
13,1,VancouverIsland-JaneWatson,GULL,50.0944444,-127.55889,9,9,9,1,5,20,2000,13,14824,08/02/2000,NA,3.42,NA,NA,NA,1.185116,NA,NA,3.42,1.185116028,3,386,-0.288674122,24,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
14,1,VancouverIsland-JaneWatson,GULL,50.0944444,-127.55889,9,9,9,1,5,20,2001,14,15213,08/26/2001,NA,1.71,NA,NA,NA,2.164313,NA,NA,1.71,2.164312824,3,389,-0.650827783,24,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
15,1,VancouverIsland-JaneWatson,GULL,50.0944444,-127.55889,9,9,9,1,5,20,2002,15,15558,08/06/2002,NA,1.84,NA,NA,NA,1.605226,NA,NA,1.84,1.605225841,3,345,0.077572961,24,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
16,1,VancouverIsland-JaneWatson,GULL,50.0944444,-127.55889,9,9,9,1,5,20,2003,16,15925,08/08/2003,NA,2.45,NA,NA,NA,1.715372,NA,NA,2.45,1.71537168,3,367,0.284957155,24,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
17,1,VancouverIsland-JaneWatson,GULL,50.0944444,-127.55889,9,9,9,1,5,20,2004,17,16302,08/19/2004,NA,1.55,NA,NA,NA,1.534194,NA,NA,1.55,1.534193599,3,377,-0.44356376,24,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
18,1,VancouverIsland-JaneWatson,GULL,50.0944444,-127.55889,9,9,9,1,5,20,2005,18,16646,07/29/2005,NA,1.11,NA,NA,NA,0.995866,NA,NA,1.11,0.995866457,3,344,-0.354520692,24,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
19,1,VancouverIsland-JaneWatson,GULL,50.0944444,-127.55889,9,9,9,1,5,20,2006,19,17024,08/11/2006,NA,10.77,NA,NA,NA,2.804372,NA,NA,10.77,2.804371587,3,378,2.195755912,24,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
20,1,VancouverIsland-JaneWatson,GULL,50.0944444,-127.55889,9,9,9,1,5,20,2007,20,17393,08/15/2007,NA,4.26,NA,NA,NA,1.226479,NA,NA,4.26,1.226478699,3,369,-0.918069565,24,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
21,1,VancouverIsland-JaneWatson,GULL,50.0944444,-127.55889,9,9,9,1,5,20,2008,21,17755,08/11/2008,NA,3.46,NA,NA,NA,1.578528,NA,NA,3.46,1.578527795,3,362,-0.20986798,24,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
22,1,VancouverIsland-JaneWatson,GULL,50.0944444,-127.55889,9,9,9,1,5,20,2009,22,18142,09/02/2009,NA,5.65,NA,NA,NA,2.546075,NA,NA,5.65,2.546075411,3,387,0.462826449,24,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
23,1,VancouverIsland-JaneWatson,GULL,50.0944444,-127.55889,9,9,9,1,5,20,2010,23,18504,08/30/2010,NA,3.8,NA,NA,NA,0.649038,NA,NA,3.8,0.649037749,3,362,-0.400215603,24,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
24,1,VancouverIsland-JaneWatson,GULL,50.0944444,-127.55889,9,9,9,1,5,20,2011,24,18864,08/25/2011,NA,5.33,NA,NA,NA,1.304128,NA,NA,5.33,1.304128061,3,360,0.343284445,24,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
25,1,VancouverIsland-JaneWatson,KAMILS,50.0080556,-127.43417,9,9,9,2,5,20,1987,1,10121,09/17/1987,NA,0.01,NA,NA,NA,0.022361,NA,NA,0.01,0.02236068,3,NA,NA,25,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
26,1,VancouverIsland-JaneWatson,KAMILS,50.0080556,-127.43417,9,9,9,2,5,20,1988,2,10450,08/11/1988,NA,9.94,NA,NA,NA,8.835822,NA,NA,9.94,8.835821977,3,329,7.662186975,25,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
27,1,VancouverIsland-JaneWatson,KAMILS,50.0080556,-127.43417,9,9,9,2,5,20,1989,3,10805,08/01/1989,NA,9.22,NA,NA,NA,4.618116,NA,NA,9.22,4.618116499,3,355,-0.077363019,25,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
28,1,VancouverIsland-JaneWatson,KAMILS,50.0080556,-127.43417,9,9,9,2,5,20,1990,4,11175,08/06/1990,NA,10.85,NA,NA,NA,4.04753,NA,NA,10.85,4.047530111,3,370,0.16070017,25,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
29,1,VancouverIsland-JaneWatson,KAMILS,50.0080556,-127.43417,9,9,9,2,5,20,1991,5,11571,09/06/1991,NA,6.85,NA,NA,NA,3.308134,NA,NA,6.85,3.308133915,3,396,-0.42420322,25,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
30,1,VancouverIsland-JaneWatson,KAMILS,50.0080556,-127.43417,9,9,9,2,5,20,1992,6,11947,09/16/1992,NA,5.46,NA,NA,NA,2.81678,NA,NA,5.46,2.816780077,3,376,-0.220315558,25,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
31,1,VancouverIsland-JaneWatson,KAMILS,50.0080556,-127.43417,9,9,9,2,5,20,1993,7,12259,07/25/1993,NA,8.03,NA,NA,NA,2.749227,NA,NA,8.03,2.749227164,3,312,0.451570444,25,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
32,1,VancouverIsland-JaneWatson,KAMILS,50.0080556,-127.43417,9,9,9,2,5,20,1994,8,12643,08/13/1994,NA,9.8,NA,NA,NA,3.602256,NA,NA,9.8,3.602256237,3,384,0.1894714,25,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
33,1,VancouverIsland-JaneWatson,KAMILS,50.0080556,-127.43417,9,9,9,2,5,20,1995,9,13002,08/07/1995,NA,8.67,NA,NA,NA,1.965833,NA,NA,8.67,1.965833157,3,359,-0.124646492,25,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
34,1,VancouverIsland-JaneWatson,KAMILS,50.0080556,-127.43417,9,9,9,2,5,20,1996,10,13365,08/04/1996,NA,8.22,NA,NA,NA,1.920156,NA,NA,8.22,1.920156244,3,363,-0.053628945,25,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
35,1,VancouverIsland-JaneWatson,KAMILS,50.0080556,-127.43417,9,9,9,2,5,20,1997,11,13735,08/09/1997,NA,5.25,NA,NA,NA,1.20364,NA,NA,5.25,1.203640312,3,370,-0.442586389,25,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
36,1,VancouverIsland-JaneWatson,KAMILS,50.0080556,-127.43417,9,9,9,2,5,20,1998,12,14098,08/07/1998,NA,6.3,NA,NA,NA,1.63936,NA,NA,6.3,1.639359631,3,363,0.183451649,25,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
37,1,VancouverIsland-JaneWatson,KAMILS,50.0080556,-127.43417,9,9,9,2,5,20,1999,13,14437,07/12/1999,NA,9.12,NA,NA,NA,3.289111,NA,NA,9.12,3.289110822,3,339,0.398564432,25,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
38,1,VancouverIsland-JaneWatson,KAMILS,50.0080556,-127.43417,9,9,9,2,5,20,2000,14,14823,08/01/2000,NA,5.28,NA,NA,NA,2.026882,NA,NA,5.28,2.026881842,3,386,-0.517163442,25,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
39,1,VancouverIsland-JaneWatson,KAMILS,50.0080556,-127.43417,9,9,9,2,5,20,2001,15,15210,08/23/2001,NA,8.3,NA,NA,NA,2.748409,NA,NA,8.3,2.748408631,3,387,0.426907803,25,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
40,1,VancouverIsland-JaneWatson,KAMILS,50.0080556,-127.43417,9,9,9,2,5,20,2002,16,15552,07/31/2002,NA,7.31,NA,NA,NA,2.537075,NA,NA,7.31,2.537075088,3,342,-0.135646845,25,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
41,1,VancouverIsland-JaneWatson,KAMILS,50.0080556,-127.43417,9,9,9,2,5,20,2003,17,15924,08/07/2003,NA,7.34,NA,NA,NA,2.950932,NA,NA,7.34,2.950932056,3,372,0.004021254,25,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific
