"Study.ID","ECOREGION","Species"
"Anderson et al. 2006","Namaqua","Ecklonia maxima"
"Anderson et al. 2007","Namaqua","Ecklonia maxima"
"Andrew & Jones 1990","Manning-Hawkesbury","Ecklonia radiata"
"Andrew 1991","Manning-Hawkesbury","Ecklonia radiata"
"Australia_WA_Wernberg","Houtman","Ecklonia radiata"
"Australia_WA_Wernberg","Leeuwin","Ecklonia radiata"
"autralia_connell_canopyLoss","South Australian Gulfs","Ecklonia radiata"
"Borum et al 2002","East Greenland Shelf","Saccharina latissima"
"Central_Chile_Fondecyt","Araucanian","Lessonia trabeculata"
"Central_Chile_Fondecyt","Araucanian","Macrocystis pyrifera"
"Central_Chile_Fondecyt","Central Chile","Lessonia trabeculata"
"Central_Chile_Fondecyt","Central Chile","Macrocystis pyrifera"
"Channel_Islands_National_Park","Northern California","Eisenia arborea"
"Channel_Islands_National_Park","Northern California","Laminaria farlowii"
"Channel_Islands_National_Park","Northern California","Macrocystis pyrifera"
"Channel_Islands_National_Park","Northern California","Pterygophora californica"
"Channel_Islands_National_Park","Southern California Bight","Eisenia arborea"
"Channel_Islands_National_Park","Southern California Bight","Laminaria farlowii"
"Channel_Islands_National_Park","Southern California Bight","Macrocystis pyrifera"
"Channel_Islands_National_Park","Southern California Bight","Pterygophora californica"
"Davoult et al. 2011","Celtic Seas","Laminaria digitata"
"Dayton et al. 1992","Southern California Bight","Laminaria farlowi"
"Dayton et al. 1992","Southern California Bight","Macrocystis pyrifera"
"Dayton et al. 1992","Southern California Bight","Pterygophora californica"
"Dayton et al. 1999","Southern California Bight","Laminaria farlowii"
"Dayton et al. 1999","Southern California Bight","Macrocystis pyrifera"
"Dayton et al. 1999","Southern California Bight","Pterygophora californica"
"de Bettignies et al. 2013","Houtman","Ecklonia radiata"
"De Wreede 1984","Oregon, Washington, Vancouver Coast and Shelf","Eisenia arborea"
"De Wreede 1984","Oregon, Washington, Vancouver Coast and Shelf","Laminaria setchellii"
"De Wreede 1984","Oregon, Washington, Vancouver Coast and Shelf","Pterygophora californica"
"Dean et al. 2000","Gulf of Alaska","Agarum clathratum"
"Dean et al. 2000","Gulf of Alaska","Laminaria bongardiana"
"Dean et al. 2000","Gulf of Alaska","Nereocystis luetkeana"
"Dean et al. 2000","Gulf of Alaska","Saccharina latissima"
"Diez et al. 2012","Western Mediterranean","Laminaria ochroleuca"
"Diez et al. 2012","Western Mediterranean","Saccorhiza polyschides"
"Dotsu et al 1999","Sea of Japan/East Sea","Laminaria religiosa"
"Duggins 1980","North American Pacific Fijordland","All annuals"
"Duggins 1980","North American Pacific Fijordland","Laminaria groenlandica"
"Edwards_baja","Northern California","Eisenia arborea"
"Edwards_baja","Northern California","Laminaria farlowii"
"Edwards_baja","Northern California","Macrocystis pyrifera"
